no,source,destination,protocol,length,info,rf_prob
597,192.168.0.10,172.217.161.246,UDP,73,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
599,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
601,192.168.0.10,172.217.161.246,UDP,73,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
603,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
605,142.250.196.97,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.196.97:https > 192.168.0.10:51275 / Raw,
607,192.168.0.10,172.217.161.246,UDP,73,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
609,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
611,192.168.0.10,172.217.161.246,UDP,73,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
613,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
615,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
617,192.168.0.10,172.217.161.246,UDP,73,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
618,142.250.206.195,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.206.195:https > 192.168.0.10:59470 / Raw,
620,142.250.206.195,192.168.0.10,UDP,997,Ether / IP / UDP 142.250.206.195:https > 192.168.0.10:59470 / Raw,
622,192.168.0.10,142.250.206.195,UDP,73,Ether / IP / UDP 192.168.0.10:59470 > 142.250.206.195:https / Raw,
624,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
626,142.250.206.195,192.168.0.10,UDP,66,Ether / IP / UDP 142.250.206.195:https > 192.168.0.10:59470 / Raw,
628,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
630,192.168.0.10,142.250.206.195,UDP,73,Ether / IP / UDP 192.168.0.10:59470 > 142.250.206.195:https / Raw,
632,192.168.0.10,172.217.161.246,UDP,73,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
634,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:49664 / Raw,
636,142.250.198.4,192.168.0.10,UDP,894,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:49664 / Raw,
638,172.217.161.246,192.168.0.10,UDP,1288,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
640,192.168.0.10,142.250.198.4,UDP,1292,Ether / IP / UDP 192.168.0.10:49664 > 142.250.198.4:https / Raw,
642,192.168.0.10,172.217.161.246,UDP,77,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
644,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
646,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
648,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
650,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
652,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
654,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
656,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
658,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
660,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
662,172.217.25.174,192.168.0.10,UDP,442,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
664,172.217.25.174,192.168.0.10,UDP,1287,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
666,172.217.25.174,192.168.0.10,UDP,139,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
668,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
670,192.168.0.10,172.217.161.246,UDP,73,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
672,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
674,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
676,192.168.0.10,172.217.161.246,UDP,73,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
678,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
680,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
682,142.250.196.97,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.196.97:https > 192.168.0.10:51275 / Raw,
684,142.250.196.97,192.168.0.10,UDP,1010,Ether / IP / UDP 142.250.196.97:https > 192.168.0.10:51275 / Raw,
686,192.168.0.10,142.250.196.97,UDP,81,Ether / IP / UDP 192.168.0.10:51275 > 142.250.196.97:https / Raw,
688,192.168.0.10,172.217.161.246,UDP,73,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
690,192.168.0.10,172.217.161.246,UDP,74,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
692,192.168.0.10,142.250.196.97,UDP,79,Ether / IP / UDP 192.168.0.10:51275 > 142.250.196.97:https / Raw,
694,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
695,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
697,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
699,192.168.0.10,142.250.196.97,UDP,1115,Ether / IP / UDP 192.168.0.10:51275 > 142.250.196.97:https / Raw,
701,192.168.0.10,172.217.161.246,UDP,74,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
703,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
705,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
707,142.250.206.195,192.168.0.10,UDP,63,Ether / IP / UDP 142.250.206.195:https > 192.168.0.10:59470 / Raw,
709,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
711,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
713,192.168.0.10,172.217.161.246,UDP,74,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
715,192.168.0.10,172.217.161.246,UDP,74,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
717,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
719,142.250.206.195,192.168.0.10,UDP,162,Ether / IP / UDP 142.250.206.195:https > 192.168.0.10:59470 / Raw,
721,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
723,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
725,192.168.0.10,172.217.161.246,UDP,74,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
727,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
729,172.217.131.134,192.168.0.10,UDP,572,Ether / IP / UDP 172.217.131.134:https > 192.168.0.10:57115 / Raw,
731,172.217.131.134,192.168.0.10,UDP,71,Ether / IP / UDP 172.217.131.134:https > 192.168.0.10:57115 / Raw,
733,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
735,172.217.131.134,192.168.0.10,UDP,63,Ether / IP / UDP 172.217.131.134:https > 192.168.0.10:57115 / Raw,
737,172.217.131.134,192.168.0.10,UDP,63,Ether / IP / UDP 172.217.131.134:https > 192.168.0.10:57115 / Raw,
739,192.168.0.10,172.217.161.246,UDP,74,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
741,192.168.0.10,172.217.131.134,UDP,77,Ether / IP / UDP 192.168.0.10:57115 > 172.217.131.134:https / Raw,
743,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
745,192.168.0.10,172.217.161.246,UDP,79,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
747,142.250.198.4,192.168.0.10,UDP,163,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:49664 / Raw,
749,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
750,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
752,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
754,192.168.0.10,172.217.161.246,UDP,74,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
756,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
758,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
760,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
762,192.168.0.10,172.217.161.246,UDP,74,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
764,192.168.0.10,172.217.161.246,UDP,74,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
