no,source,destination,protocol,length,info,rf_prob
1,162.159.136.234,192.168.0.10,TCP,105,Ether / IP / TCP 162.159.136.234:https > 192.168.0.10:60274 PA / Raw,
3,192.168.0.10,4.213.25.240,TCP,155,Ether / IP / TCP 192.168.0.10:62286 > 4.213.25.240:https PA / Raw,
4,192.168.0.10,104.18.18.125,TCP,416,Ether / IP / TCP 192.168.0.10:60278 > 104.18.18.125:https PA / Raw,
6,104.18.18.125,192.168.0.10,TCP,89,Ether / IP / TCP 104.18.18.125:https > 192.168.0.10:60278 PA / Raw,
7,104.18.18.125,192.168.0.10,TCP,89,Ether / IP / TCP 104.18.18.125:https > 192.168.0.10:60278 PA / Raw,
9,4.213.25.240,192.168.0.10,TCP,225,Ether / IP / TCP 4.213.25.240:https > 192.168.0.10:62286 PA / Raw,
11,192.168.0.10,35.186.224.45,TCP,97,Ether / IP / TCP 192.168.0.10:60279 > 35.186.224.45:https PA / Raw,
12,104.18.18.125,192.168.0.10,TCP,136,Ether / IP / TCP 104.18.18.125:https > 192.168.0.10:60278 PA / Raw,
13,35.186.224.45,192.168.0.10,TCP,54,Ether / IP / TCP 35.186.224.45:https > 192.168.0.10:60279 A,
14,35.186.224.45,192.168.0.10,TCP,94,Ether / IP / TCP 35.186.224.45:https > 192.168.0.10:60279 PA / Raw,
15,192.168.0.10,104.18.18.125,TCP,54,Ether / IP / TCP 192.168.0.10:60278 > 104.18.18.125:https A,
16,192.168.0.10,35.186.224.45,TCP,54,Ether / IP / TCP 192.168.0.10:60279 > 35.186.224.45:https A,
17,192.168.0.10,54.196.118.119,TCP,55,Ether / IP / TCP 192.168.0.10:60609 > 54.196.118.119:https A / Raw,
18,54.196.118.119,192.168.0.10,TCP,66,Ether / IP / TCP 54.196.118.119:https > 192.168.0.10:60609 A,
19,35.71.162.24,192.168.0.10,TCP,93,Ether / IP / TCP 35.71.162.24:https > 192.168.0.10:60783 PA / Raw,
21,35.71.162.24,192.168.0.10,TCP,54,Ether / IP / TCP 35.71.162.24:https > 192.168.0.10:60783 FA,
22,192.168.0.10,35.71.162.24,TCP,54,Ether / IP / TCP 192.168.0.10:60783 > 35.71.162.24:https A,
24,192.168.0.10,35.71.162.24,TCP,93,Ether / IP / TCP 192.168.0.10:60783 > 35.71.162.24:https PA / Raw,
25,192.168.0.10,35.71.162.24,TCP,54,Ether / IP / TCP 192.168.0.10:60783 > 35.71.162.24:https FA,
26,35.71.162.24,192.168.0.10,TCP,54,Ether / IP / TCP 35.71.162.24:https > 192.168.0.10:60783 A,
27,35.71.162.24,192.168.0.10,TCP,54,Ether / IP / TCP 35.71.162.24:https > 192.168.0.10:60783 A,
28,110.93.151.162,192.168.0.10,TCP,93,Ether / IP / TCP 110.93.151.162:https > 192.168.0.10:60785 PA / Raw,
29,110.93.151.162,192.168.0.10,TCP,78,Ether / IP / TCP 110.93.151.162:https > 192.168.0.10:60785 FPA / Raw,
30,192.168.0.10,110.93.151.162,TCP,54,Ether / IP / TCP 192.168.0.10:60785 > 110.93.151.162:https A,
32,110.93.151.162,192.168.0.10,TCP,54,Ether / IP / TCP 110.93.151.162:https > 192.168.0.10:60785 A,
34,192.168.0.10,142.250.198.4,UDP,1292,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
