no,source,destination,protocol,length,info,rf_prob
2,192.168.0.10,224.0.0.251,Other,46,Ether / 192.168.0.10 > 224.0.0.251 2 / Raw,1.0
3,192.168.0.10,239.255.255.250,Other,46,Ether / 192.168.0.10 > 239.255.255.250 2 / Raw,1.0
4,162.159.136.234,192.168.0.10,TCP,107,Ether / IP / TCP 162.159.136.234:https > 192.168.0.10:60274 PA / Raw,1.0
5,192.168.0.10,162.159.136.234,TCP,54,Ether / IP / TCP 192.168.0.10:60274 > 162.159.136.234:https A,1.0
6,192.168.0.1,239.255.255.250,UDP,414,Ether / IP / UDP 192.168.0.1:53082 > 239.255.255.250:ssdp / Raw,1.0
8,192.168.0.1,239.255.255.250,UDP,482,Ether / IP / UDP 192.168.0.1:53082 > 239.255.255.250:ssdp / Raw,1.0
9,192.168.0.1,239.255.255.250,UDP,462,Ether / IP / UDP 192.168.0.1:53082 > 239.255.255.250:ssdp / Raw,1.0
10,192.168.0.1,239.255.255.250,UDP,494,Ether / IP / UDP 192.168.0.1:53082 > 239.255.255.250:ssdp / Raw,1.0
11,192.168.0.1,239.255.255.250,UDP,476,Ether / IP / UDP 192.168.0.1:53082 > 239.255.255.250:ssdp / Raw,1.0
12,192.168.0.1,239.255.255.250,UDP,478,Ether / IP / UDP 192.168.0.1:53082 > 239.255.255.250:ssdp / Raw,1.0
13,192.168.0.1,239.255.255.250,UDP,478,Ether / IP / UDP 192.168.0.1:53082 > 239.255.255.250:ssdp / Raw,1.0
14,192.168.0.10,172.64.155.209,TCP,55,Ether / IP / TCP 192.168.0.10:60419 > 172.64.155.209:https A / Raw,1.0
16,192.168.0.10,104.18.18.125,TCP,416,Ether / IP / TCP 192.168.0.10:60278 > 104.18.18.125:https PA / Raw,1.0
18,104.18.18.125,192.168.0.10,TCP,89,Ether / IP / TCP 104.18.18.125:https > 192.168.0.10:60278 PA / Raw,1.0
19,104.18.18.125,192.168.0.10,TCP,89,Ether / IP / TCP 104.18.18.125:https > 192.168.0.10:60278 PA / Raw,1.0
